kod_obce_orp;nazev_obce;okres_nuts;nazev_okres;kraj_nuts;nazev_kraj;aken;uzis_orp
4101;Aš;CZ0411;Cheb;CZ041;Karlovarský;CZ0411;4101
2101;Benešov;CZ0211;Benešov;CZ020;Středočeský;CZ0201;2001
2102;Beroun;CZ0212;Beroun;CZ020;Středočeský;CZ0202;2002
4201;Bílina;CZ0426;Teplice;CZ042;Ústecký;CZ0426;4201
8101;Bílovec;CZ0814;Nový Jičín;CZ080;Moravskoslezský;CZ0804;8001
6201;Blansko;CZ0641;Blansko;CZ064;Jihomoravský;CZ0641;6401
3101;Blatná;CZ0316;Strakonice;CZ031;Jihočeský;CZ0316;3101
3201;Blovice;CZ0324;Plzeň-jih;CZ032;Plzeňský;CZ0324;3201
8102;Bohumín;CZ0813;Karviná;CZ080;Moravskoslezský;CZ0803;8002
6202;Boskovice;CZ0641;Blansko;CZ064;Jihomoravský;CZ0641;6402
2103;Brandýs nad Labem-Stará Boleslav;CZ0219;Praha-východ;CZ020;Středočeský;CZ0209;2003
6203;Brno;CZ0642;Brno-město;CZ064;Jihomoravský;CZ0642;6403
5201;Broumov;CZ0523;Náchod;CZ052;Královéhradecký;CZ0523;5201
8103;Bruntál;CZ0811;Bruntál;CZ080;Moravskoslezský;CZ0801;8003
6204;Břeclav;CZ0644;Břeclav;CZ064;Jihomoravský;CZ0644;6404
6205;Bučovice;CZ0646;Vyškov;CZ064;Jihomoravský;CZ0646;6405
6101;Bystřice nad Pernštejnem;CZ0635;Žďár nad Sázavou;CZ063;Vysočina;CZ0635;6301
7201;Bystřice pod Hostýnem;CZ0721;Kroměříž;CZ072;Zlínský;CZ0721;7201
2104;Čáslav;CZ0215;Kutná Hora;CZ020;Středočeský;CZ0205;2004
2105;Černošice;CZ021A;Praha-západ;CZ020;Středočeský;CZ020A;2005
5101;Česká Lípa;CZ0511;Česká Lípa;CZ051;Liberecký;CZ0511;5101
5301;Česká Třebová;CZ0534;Ústí nad Orlicí;CZ053;Pardubický;CZ0534;5301
3102;České Budějovice;CZ0311;České Budějovice;CZ031;Jihočeský;CZ0311;3102
2106;Český Brod;CZ0214;Kolín;CZ020;Středočeský;CZ0204;2006
3103;Český Krumlov;CZ0312;Český Krumlov;CZ031;Jihočeský;CZ0312;3103
8104;Český Těšín;CZ0813;Karviná;CZ080;Moravskoslezský;CZ0803;8004
3104;Dačice;CZ0313;Jindřichův Hradec;CZ031;Jihočeský;CZ0313;3104
4202;Děčín;CZ0421;Děčín;CZ042;Ústecký;CZ0421;4202
5202;Dobruška;CZ0524;Rychnov nad Kněžnou;CZ052;Královéhradecký;CZ0524;5202
2107;Dobříš;CZ021B;Příbram;CZ020;Středočeský;CZ020B;2007
3202;Domažlice;CZ0321;Domažlice;CZ032;Plzeňský;CZ0321;3202
5203;Dvůr Králové nad Labem;CZ0525;Trutnov;CZ052;Královéhradecký;CZ0525;5203
8105;Frenštát pod Radhoštěm;CZ0814;Nový Jičín;CZ080;Moravskoslezský;CZ0804;8005
8106;Frýdek-Místek;CZ0812;Frýdek-Místek;CZ080;Moravskoslezský;CZ0802;8006
5102;Frýdlant;CZ0513;Liberec;CZ051;Liberecký;CZ0513;5102
8107;Frýdlant nad Ostravicí;CZ0812;Frýdek-Místek;CZ080;Moravskoslezský;CZ0802;8007
8108;Havířov;CZ0813;Karviná;CZ080;Moravskoslezský;CZ0803;8008
6102;Havlíčkův Brod;CZ0631;Havlíčkův Brod;CZ063;Vysočina;CZ0631;6302
