Měsíc,Pfizer,Moderna,AZ,CureVac,Janssen,Novavax,GSK,Suma,Suma
1. 12. 2020,29250,0,0,0,0,0,0,29250,29250
1. 1. 2021,323115,20400,0,0,0,0,0,343515,343515
1. 2. 2021,338130,68400,137459,0,0,0,0,543989,543989
1. 3. 2021,778050,147600,193400,0,0,0,0,1119050,1119050
1. 4. 2021,1145430,172200,204902,0,38400,0,0,1560932,1560932
1. 5. 2021,1710540,276600,200000,0,170000,134615,0,2491755,2491755
1. 6. 2021,1825200,276600,200000,0,650000,107693,0,3059493,3059493
1. 7. 2021,1314465,464307,400000,25385,369228,181526,0,2754911,2754911
1. 8. 2021,1693075,580385,500000,20308,461540,226930,0,3482238,3482238
1. 9. 2021,1414460,464308,0,54465,349232,181544,0,2464009,2464009
1. 10. 2021,476158,431386,0,68075,76614,242465,0,1294698,1294698
1. 11. 2021,597690,539230,0,54460,95770,303075,0,1590225,1590225
1. 12. 2021,496152,431384,0,68307,76616,242460,0,1314919,1314919
