datum,kraj_nuts_kod,ecmo_kapacita_volna,ecmo_kapacita_celkem,upv_kapacita_volna,upv_kapacita_celkem,crrt_kapacita_volna,crrt_kapacita_celkem,ihd_kapacita_volna,ihd_kapacita_celkem,luzka_aro_jip_kapacita_celkem,luzka_aro_jip_kapacita_volna_covid_pozitivni,luzka_aro_jip_kapacita_volna_covid_negativni,luzka_standard_kyslik_kapacita_celkem,luzka_standard_kyslik_kapacita_volna_covid_pozitivni,luzka_standard_kyslik_kapacita_volna_covid_negativni,ventilatory_prenosne_kapacita_volna,ventilatory_prenosne_kapacita_celkem,ventilatory_operacni_sal_kapacita_volna,ventilatory_operacni_sal_kapacita_celkem,reprofilizovana_kapacita_luzka_aro_jip_kapacita_volna,reprofilizovana_kapacita_luzka_aro_jip_kapacita_celkem,reprofilizovana_kapacita_luzka_aro_jip_kapacita_planovana,reprofilizovana_kapacita_luzka_standard_kyslik_kapacita_volna,reprofilizovana_kapacita_luzka_standard_kyslik_kapacita_celkem,reprofilizovana_kapacita_luzka_standard_kyslik_kapacita_planovana
2020-09-01,CZ010,28,31,188,353,44,76,26,32,929,34,143,3760,142,656,79,98,83,125,,,,,,
2020-09-01,CZ020,0,0,77,119,14,17,6,6,272,44,56,2199,209,483,37,38,35,52,,,,,,
2020-09-01,CZ031,2,2,37,70,15,20,10,49,261,24,71,1878,75,539,25,25,19,30,,,,,,
2020-09-01,CZ032,3,3,96,103,14,17,9,9,150,15,53,1303,46,530,54,54,18,21,,,,,,
2020-09-01,CZ041,1,1,13,37,6,6,4,4,71,11,17,634,33,148,13,13,0,0,,,,,,
2020-09-01,CZ042,2,2,81,141,11,15,7,16,272,25,73,1347,101,331,35,38,74,77,,,,,,
2020-09-01,CZ051,2,2,43,100,7,12,5,6,157,5,28,810,27,470,13,13,12,45,,,,,,
2020-09-01,CZ052,7,7,63,119,15,19,20,27,201,10,50,772,39,278,34,34,20,26,,,,,,
2020-09-01,CZ053,0,0,42,70,13,14,2,2,134,6,39,702,82,291,9,16,41,42,,,,,,
2020-09-01,CZ063,0,0,77,81,10,11,16,29,177,22,69,1669,99,598,14,16,14,22,,,,,,
2020-09-01,CZ064,11,12,173,238,31,41,11,11,562,37,81,3022,215,1007,55,56,45,53,,,,,,
2020-09-01,CZ071,2,2,44,104,13,18,1,2,233,27,35,1650,78,503,32,34,26,62,,,,,,
2020-09-01,CZ072,1,1,59,79,10,12,2,2,170,17,42,1081,232,220,12,12,12,21,,,,,,
2020-09-01,CZ080,10,11,194,307,27,31,32,40,431,27,102,2952,162,566,49,49,87,93,,,,,,
2020-09-02,CZ010,26,31,183,353,48,76,27,32,934,32,136,3760,142,755,79,98,83,125,,,,,,
2020-09-02,CZ020,0,0,81,119,14,17,6,6,272,44,60,2199,210,477,37,38,35,52,,,,,,
2020-09-02,CZ031,2,2,42,70,14,20,9,49,261,22,82,1878,91,578,25,25,19,30,,,,,,
2020-09-02,CZ032,3,3,96,103,14,17,9,9,150,15,53,1303,46,530,54,54,18,21,,,,,,
2020-09-02,CZ041,1,1,13,37,6,6,4,4,71,11,17,634,33,148,13,13,0,0,,,,,,
2020-09-02,CZ042,2,2,79,141,10,15,5,16,272,21,75,1347,102,338,35,38,74,77,,,,,,
2020-09-02,CZ051,2,2,41,100,8,12,6,6,157,7,27,836,26,444,13,13,12,45,,,,,,
2020-09-02,CZ052,7,7,64,119,12,19,20,27,201,10,50,772,39,293,34,34,20,26,,,,,,
2020-09-02,CZ053,0,0,43,70,13,14,2,2,134,6,36,702,82,268,9,16,41,42,,,,,,
2020-09-02,CZ063,0,0,71,81,10,11,13,29,177,20,54,1669,106,542,14,16,14,22,,,,,,
2020-09-02,CZ064,9,10,143,226,30,41,10,11,562,32,75,3020,187,983,55,56,45,54,,,,,,
2020-09-02,CZ071,2,2,45,104,13,18,1,2,233,27,38,1650,78,502,32,34,26,62,,,,,,
2020-09-02,CZ072,1,1,59,79,10,12,2,2,170,17,42,1081,232,220,12,12,12,21,,,,,,
2020-09-02,CZ080,10,11,200,307,27,31,32,40,431,27,92,2952,162,561,49,49,87,93,,,,,,
2020-09-03,CZ010,26,31,176,353,47,76,26,32,934,33,135,3760,136,760,79,98,83,125,,,,,,
2020-09-03,CZ020,0,0,84,115,15,17,6,6,272,37,64,2199,181,478,37,38,35,52,,,,,,
2020-09-03,CZ031,2,2,44,70,15,20,9,49,261,22,86,1878,91,593,25,25,19,30,,,,,,
2020-09-03,CZ032,3,3,90,103,14,17,9,9,150,15,48,1303,52,425,54,54,18,21,,,,,,
2020-09-03,CZ041,1,1,13,37,5,6,3,4,71,11,20,634,34,148,13,13,0,0,,,,,,
2020-09-03,CZ042,2,2,75,138,12,15,5,18,266,21,59,1347,95,359,35,38,74,77,,,,,,
2020-09-03,CZ051,2,2,41,100,10,12,6,6,157,7,36,836,26,449,13,13,12,45,,,,,,
2020-09-03,CZ052,7,7,62,119,12,19,20,27,201,10,52,772,39,293,34,34,20,26,,,,,,
2020-09-03,CZ053,0,0,44,70,12,14,2,2,134,4,33,702,83,263,9,16,41,42,,,,,,
2020-09-03,CZ063,0,0,70,81,11,11,13,29,177,21,55,1669,106,491,14,16,14,22,,,,,,
2020-09-03,CZ064,9,10,146,222,33,40,10,11,562,32,74,3010,186,946,55,56,45,54,,,,,,
2020-09-03,CZ071,2,2,50,104,14,18,2,2,233,21,37,1635,80,415,32,34,26,62,,,,,,
2020-09-03,CZ072,1,1,54,79,10,12,2,2,174,16,43,1081,232,214,12,12,12,21,,,,,,
2020-09-03,CZ080,9,11,199,307,26,31,32,40,431,25,95,2952,148,553,49,49,87,93,,,,,,
2020-09-04,CZ010,26,31,173,352,47,76,25,32,934,28,149,3760,131,767,79,98,83,125,,,,,,
2020-09-04,CZ020,0,0,83,111,16,17,6,6,275,37,80,2199,193,469,37,38,35,52,,,,,,
2020-09-04,CZ031,2,2,50,70,15,20,9,49,261,24,91,1878,92,605,25,25,19,30,,,,,,
2020-09-04,CZ032,3,3,85,103,16,17,9,9,150,16,44,1303,51,391,54,54,18,21,,,,,,
2020-09-04,CZ041,1,1,14,37,4,6,2,4,71,11,19,634,30,152,13,13,0,0,,,,,,
2020-09-04,CZ042,2,2,75,138,12,15,5,18,266,21,63,1347,95,360,35,38,74,77,,,,,,
2020-09-04,CZ051,2,2,38,99,10,12,6,6,157,6,35,880,26,480,13,13,12,45,,,,,,
2020-09-04,CZ052,7,7,59,119,14,19,20,27,201,10,46,772,39,293,34,34,20,26,,,,,,
2020-09-04,CZ053,0,0,47,70,12,14,2,2,134,4,31,702,83,270,9,16,41,42,,,,,,
2020-09-04,CZ063,0,0,70,81,11,11,13,29,177,21,55,1669,106,491,14,16,14,22,,,,,,
2020-09-04,CZ064,9,10,148,223,33,40,10,11,561,33,93,3011,181,1009,55,56,45,54,,,,,,
2020-09-04,CZ071,2,2,49,104,15,18,2,2,233,23,34,1635,80,492,32,34,26,62,,,,,,
2020-09-04,CZ072,1,1,55,78,10,12,1,2,172,16,47,1081,232,202,12,12,12,21,,,,,,
2020-09-04,CZ080,9,11,197,307,26,31,32,40,431,25,90,2952,150,564,49,49,87,93,,,,,,
2020-09-05,CZ010,26,31,166,329,47,74,30,37,865,30,133,3151,58,724,67,86,83,125,,,,,,
2020-09-05,CZ020,0,0,83,111,16,17,6,6,275,38,81,2199,197,449,37,38,35,52,,,,,,
2020-09-05,CZ031,2,2,50,70,15,20,9,49,261,24,91,1878,92,605,25,25,19,30,,,,,,
2020-09-05,CZ032,3,3,95,103,17,17,9,9,150,16,54,1303,52,454,54,54,18,21,,,,,,
2020-09-05,CZ041,1,1,12,37,5,6,3,4,71,11,18,634,29,152,13,13,0,0,,,,,,
2020-09-05,CZ042,2,2,75,138,12,15,5,18,266,21,66,1347,92,360,35,38,74,77,,,,,,
2020-09-05,CZ051,2,2,39,99,10,12,6,6,157,6,38,880,26,506,13,13,12,45,,,,,,
2020-09-05,CZ052,7,7,60,119,14,19,20,27,201,10,44,772,39,293,34,34,20,26,,,,,,
2020-09-05,CZ053,0,0,50,70,12,14,2,2,134,7,37,702,78,280,9,16,41,42,,,,,,
2020-09-05,CZ063,0,0,70,81,11,11,13,29,177,21,55,1669,106,491,14,16,14,22,,,,,,
2020-09-05,CZ064,9,10,146,223,33,40,10,11,561,33,90,3011,195,1015,55,56,45,54,,,,,,
2020-09-05,CZ071,2,2,46,104,15,18,2,2,233,24,37,1635,80,506,32,34,26,62,,,,,,
2020-09-05,CZ072,1,1,50,78,10,12,1,2,172,13,47,1081,232,199,12,12,12,21,,,,,,
2020-09-05,CZ080,10,11,194,307,25,31,33,40,431,24,101,2952,146,593,49,49,87,93,,,,,,
2020-09-06,CZ010,26,31,167,329,47,74,30,37,865,31,131,3151,61,732,67,86,83,125,,,,,,
2020-09-06,CZ020,0,0,81,111,16,17,6,6,275,39,79,2199,196,465,37,38,35,52,,,,,,
2020-09-06,CZ031,2,2,50,70,15,20,9,49,261,24,91,1878,92,605,25,25,19,30,,,,,,
2020-09-06,CZ032,3,3,95,103,17,17,9,9,150,16,54,1303,52,453,54,54,18,21,,,,,,
2020-09-06,CZ041,1,1,13,37,5,6,3,4,71,11,19,634,29,151,13,13,0,0,,,,,,
2020-09-06,CZ042,2,2,78,138,12,15,5,18,266,21,72,1349,93,365,35,38,74,77,,,,,,
2020-09-06,CZ051,2,2,37,99,10,12,6,6,157,6,35,880,26,495,13,13,12,45,,,,,,
2020-09-06,CZ052,7,7,62,119,14,19,20,27,201,10,50,772,39,293,34,34,20,26,,,,,,
2020-09-06,CZ053,0,0,50,70,12,14,2,2,134,6,35,702,86,275,9,16,41,42,,,,,,
2020-09-06,CZ063,0,0,70,81,11,11,13,29,177,21,55,1669,106,491,14,16,14,22,,,,,,
2020-09-06,CZ064,9,10,144,223,33,40,10,11,561,33,90,3011,192,1011,55,56,45,54,,,,,,
2020-09-06,CZ071,2,2,46,104,15,18,2,2,233,24,39,1635,80,503,32,34,26,62,,,,,,
2020-09-06,CZ072,1,1,51,78,10,12,1,2,172,12,55,1081,230,202,12,12,12,21,,,,,,
2020-09-06,CZ080,10,11,195,307,25,31,33,40,431,26,107,2952,151,606,49,49,87,93,,,,,,
2020-09-07,CZ010,26,31,168,329,47,74,30,37,865,31,131,3151,62,731,67,86,83,125,,,,,,
2020-09-07,CZ020,0,0,75,111,15,17,6,6,269,34,63,2192,180,467,37,38,35,52,,,,,,
2020-09-07,CZ031,2,2,40,70,14,20,9,49,261,25,89,1878,91,613,25,25,19,30,,,,,,
2020-09-07,CZ032,3,3,82,104,16,17,9,9,150,14,50,1303,52,441,54,54,18,21,,,,,,
2020-09-07,CZ041,1,1,15,37,5,6,4,4,71,11,21,634,30,153,13,13,0,0,,,,,,
2020-09-07,CZ042,2,2,83,140,12,15,5,18,266,21,75,1349,92,377,35,38,74,77,,,,,,
2020-09-07,CZ051,2,2,42,99,10,12,6,6,157,5,34,880,26,457,13,13,12,45,,,,,,
2020-09-07,CZ052,7,7,62,119,14,19,20,27,201,10,50,772,39,293,34,34,20,26,,,,,,
2020-09-07,CZ053,0,0,51,70,12,14,2,2,134,15,40,702,96,254,9,16,41,42,,,,,,
2020-09-07,CZ063,0,0,70,81,11,11,13,29,177,21,55,1669,106,491,14,16,14,22,,,,,,
2020-09-07,CZ064,9,10,140,221,31,40,10,11,565,23,96,3003,129,960,55,56,45,54,,,,,,
2020-09-07,CZ071,2,2,46,104,16,18,2,2,233,23,40,1635,76,473,32,34,26,62,,,,,,
2020-09-07,CZ072,1,1,44,78,11,12,2,2,172,13,48,1081,213,218,12,12,12,21,,,,,,
2020-09-07,CZ080,10,11,200,307,25,31,33,40,431,27,109,2952,153,545,49,49,87,93,,,,,,
2020-09-08,CZ010,26,31,170,329,45,74,30,37,865,32,130,3151,54,675,67,86,83,125,,,,,,
2020-09-08,CZ020,0,0,73,111,15,17,6,6,269,34,54,2192,178,461,37,38,35,52,,,,,,
2020-09-08,CZ031,2,2,43,70,14,20,9,49,261,25,87,1878,90,617,25,25,19,30,,,,,,
2020-09-08,CZ032,3,3,84,104,15,17,9,9,150,14,46,1303,50,407,54,54,18,21,,,,,,
