datum,zz_kod,zz_nazev,kraj_nuts_kod,kraj_nazev,luzka_standard_kyslik_kapacita_volna_covid_pozitivni,luzka_standard_kyslik_kapacita_volna_covid_negativni,luzka_standard_kyslik_kapacita_celkem,luzka_hfno_cpap_kapacita_volna_covid_pozitivni,luzka_hfno_cpap_kapacita_volna_covid_negativni,luzka_hfno_cpap_kapacita_celkem,luzka_upv_niv_kapacita_volna_covid_pozitivni,luzka_upv_niv_kapacita_volna_covid_negativni,luzka_upv_niv_kapacita_celkem,ecmo_kapacita_volna,ecmo_kapacita_celkem,cvvhd_kapacita_volna,cvvhd_kapacita_celkem,ventilatory_prenosne_kapacita_volna,ventilatory_prenosne_kapacita_celkem,ventilatory_operacni_sal_kapacita_volna,ventilatory_operacni_sal_kapacita_celkem
2021-03-25,04002000,"Institut klinické a experimentální medicíny",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,04004000,"Ústav pro péči o matku a dítě",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,05004000,"Nemocnice Na Homolce",CZ010,"Hlavní město Praha",5,5,14,2,0,4,0,2,20,1,4,3,7,10,12,5,10
2021-03-25,10002000,"Fakultní nemocnice Královské Vinohrady",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,04005000,"Fakultní Thomayerova nemocnice",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,08006000,"Fakultní nemocnice Na Bulovce",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,10714000,"Vršovická zdravotní a.s.",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,01002000,"Nemocnice Milosrdných sester sv.K.Boromejského",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,05002000,"Fakultní nemocnice v Motole",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,01003000,"Nemocnice Na Františku",CZ010,"Hlavní město Praha",1,2,35,0,0,2,0,1,9,,,,,1,1,,
2021-03-25,02002000,"Ústav hematologie a krevní transfuze",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,02004000,"Všeobecná fakultní nemocnice v Praze",CZ010,"Hlavní město Praha",4,5,512,,,,,,,1,10,4,22,0,18,,
2021-03-25,06051000,"ÚVN - Vojenská fakultní nemocnice Praha",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,24200000,"Městská nemocnice Čáslav",CZ020,"Středočeský kraj",14,10,72,3,0,8,1,1,4,,,,,1,1,3,3
2021-03-25,22102000,"Nemocnice Slaný",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,28002000,"PP Hospitals, s.r.o., Nemocnice Brandýs n/L.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,27002000,"Městská nemocnice Městec Králové a.s.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,21001000,"JESSENIA a.s., Rehabilitační  nemocnice Beroun",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,30531000,"Oblastní nemocnice Příbram, a.s.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,20101000,"Nemocnice Rudolfa a Stefanie Benešov, a.s.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,23101000,"Oblastní nemocnice Kolín, a.s.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,23101000,"Oblastní nem. Kolín, a.s., Nemocnice Kutná Hora",CZ020,"Středočeský kraj",22,0,88,1,0,6,0,0,9,,,,,,,,
2021-03-25,26001000,"Oblastní nemocnice Mladá Boleslav, a.s.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,22101000,"Oblastní nemocnice Kladno,a.s.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,28003000,"Nemocnice Říčany a.s.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,25110000,"Mělnická zdravotní, a.s., Nemocnice Mělník",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,27001000,"Nemocnice Nymburk s.r.o.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
