kod_obce_orp;nazev_obce;okres_nuts;nazev_okres;kraj_nuts;nazev_kraj;aken;uzis_orp;ruian_kod
1100;Hlavní město Praha;CZ0110;Hlavní město Praha;CZ010;Hlavní město Praha;CZ0100;1000;19
2101;Benešov;CZ0211;Benešov;CZ020;Středočeský;CZ0201;2001;27
2102;Beroun;CZ0212;Beroun;CZ020;Středočeský;CZ0202;2002;51
2103;Brandýs nad Labem-Stará Boleslav;CZ0219;Praha-východ;CZ020;Středočeský;CZ0209;2003;213
2104;Čáslav;CZ0215;Kutná Hora;CZ020;Středočeský;CZ0205;2004;124
2105;Černošice;CZ021A;Praha-západ;CZ020;Středočeský;CZ020A;2005;230
2106;Český Brod;CZ0214;Kolín;CZ020;Středočeský;CZ0204;2006;108
2107;Dobříš;CZ021B;Příbram;CZ020;Středočeský;CZ020B;2007;248
2108;Hořovice;CZ0212;Beroun;CZ020;Středočeský;CZ0202;2008;60
2109;Kladno;CZ0213;Kladno;CZ020;Středočeský;CZ0203;2009;78
2110;Kolín;CZ0214;Kolín;CZ020;Středočeský;CZ0204;2010;94
2111;Kralupy nad Vltavou;CZ0216;Mělník;CZ020;Středočeský;CZ0206;2011;132
2112;Kutná Hora;CZ0215;Kutná Hora;CZ020;Středočeský;CZ0205;2012;116
2113;Lysá nad Labem;CZ0218;Nymburk;CZ020;Středočeský;CZ0208;2013;183
2114;Mělník;CZ0216;Mělník;CZ020;Středočeský;CZ0206;2014;141
2115;Mladá Boleslav;CZ0217;Mladá Boleslav;CZ020;Středočeský;CZ0207;2015;167
2116;Mnichovo Hradiště;CZ0217;Mladá Boleslav;CZ020;Středočeský;CZ0207;2016;175
2117;Neratovice;CZ0216;Mělník;CZ020;Středočeský;CZ0206;2017;159
2118;Nymburk;CZ0218;Nymburk;CZ020;Středočeský;CZ0208;2018;191
2119;Poděbrady;CZ0218;Nymburk;CZ020;Středočeský;CZ0208;2019;205
2120;Příbram;CZ021B;Příbram;CZ020;Středočeský;CZ020B;2020;256
2121;Rakovník;CZ021C;Rakovník;CZ020;Středočeský;CZ020C;2021;272
2122;Říčany;CZ0219;Praha-východ;CZ020;Středočeský;CZ0209;2022;221
2123;Sedlčany;CZ021B;Příbram;CZ020;Středočeský;CZ020B;2023;264
2124;Slaný;CZ0213;Kladno;CZ020;Středočeský;CZ0203;2024;86
2125;Vlašim;CZ0211;Benešov;CZ020;Středočeský;CZ0201;2025;35
2126;Votice;CZ0211;Benešov;CZ020;Středočeský;CZ0201;2026;43
3101;Blatná;CZ0316;Strakonice;CZ031;Jihočeský;CZ0316;3101;434
3102;České Budějovice;CZ0311;České Budějovice;CZ031;Jihočeský;CZ0311;3102;302
3103;Český Krumlov;CZ0312;Český Krumlov;CZ031;Jihočeský;CZ0312;3103;329
3104;Dačice;CZ0313;Jindřichův Hradec;CZ031;Jihočeský;CZ0313;3104;337
3105;Jindřichův Hradec;CZ0313;Jindřichův Hradec;CZ031;Jihočeský;CZ0313;3105;345
3106;Kaplice;CZ0312;Český Krumlov;CZ031;Jihočeský;CZ0312;3106;311
3107;Milevsko;CZ0314;Písek;CZ031;Jihočeský;CZ0314;3107;396
3108;Písek;CZ0314;Písek;CZ031;Jihočeský;CZ0314;3108;400
3109;Prachatice;CZ0315;Prachatice;CZ031;Jihočeský;CZ0315;3109;418
3110;Soběslav;CZ0317;Tábor;CZ031;Jihočeský;CZ0317;3110;469
3111;Strakonice;CZ0316;Strakonice;CZ031;Jihočeský;CZ0316;3111;442
3112;Tábor;CZ0317;Tábor;CZ031;Jihočeský;CZ0317;3112;477
3113;Trhové Sviny;CZ0311;České Budějovice;CZ031;Jihočeský;CZ0311;3113;281
3114;Třeboň;CZ0313;Jindřichův Hradec;CZ031;Jihočeský;CZ0313;3114;353
3115;Týn nad Vltavou;CZ0311;České Budějovice;CZ031;Jihočeský;CZ0311;3115;299
3116;Vimperk;CZ0315;Prachatice;CZ031;Jihočeský;CZ0315;3116;426
3117;Vodňany;CZ0316;Strakonice;CZ031;Jihočeský;CZ0316;3117;451
3201;Blovice;CZ0324;Plzeň-jih;CZ032;Plzeňský;CZ0324;3201;591
3202;Domažlice;CZ0321;Domažlice;CZ032;Plzeňský;CZ0321;3202;485
3203;Horažďovice;CZ0322;Klatovy;CZ032;Plzeňský;CZ0322;3203;558
3204;Horšovský Týn;CZ0321;Domažlice;CZ032;Plzeňský;CZ0321;3204;493
3205;Klatovy;CZ0322;Klatovy;CZ032;Plzeňský;CZ0322;3205;566
3206;Kralovice;CZ0325;Plzeň-sever;CZ032;Plzeňský;CZ0325;3206;639
3207;Nepomuk;CZ0324;Plzeň-jih;CZ032;Plzeňský;CZ0324;3207;604
3208;Nýřany;CZ0325;Plzeň-sever;CZ032;Plzeňský;CZ0325;3208;647
