vek;CZ0;CZ01;CZ02;CZ03;CZ04;CZ05;CZ06;CZ07;CZ08;CZ010;CZ020;CZ031;CZ032;CZ041;CZ042;CZ051;CZ052;CZ053;CZ063;CZ064;CZ071;CZ072;CZ080;CZ0100;CZ0201;CZ0202;CZ0203;CZ0204;CZ0205;CZ0206;CZ0207;CZ0208;CZ0209;CZ020A;CZ020B;CZ020C;CZ0311;CZ0312;CZ0313;CZ0314;CZ0315;CZ0316;CZ0317;CZ0321;CZ0322;CZ0323;CZ0324;CZ0325;CZ0326;CZ0327;CZ0411;CZ0412;CZ0413;CZ0421;CZ0422;CZ0423;CZ0424;CZ0425;CZ0426;CZ0427;CZ0511;CZ0512;CZ0513;CZ0514;CZ0521;CZ0522;CZ0523;CZ0524;CZ0525;CZ0531;CZ0532;CZ0533;CZ0534;CZ0631;CZ0632;CZ0633;CZ0634;CZ0635;CZ0641;CZ0642;CZ0643;CZ0644;CZ0645;CZ0646;CZ0647;CZ0711;CZ0712;CZ0713;CZ0714;CZ0715;CZ0721;CZ0722;CZ0723;CZ0724;CZ0801;CZ0802;CZ0803;CZ0804;CZ0805;CZ0806
0;110 053;14 566;14 684;12 450;10 553;15 496;18 198;12 364;11 742;14 566;14 684;6 558;5 892;2 658;7 895;4 548;5 510;5 438;5 325;12 873;6 551;5 813;11 742;14 566;956;1 054;1 671;1 107;768;1 165;1 391;1 043;2 119;1 741;1 123;546;2 266;627;887;678;454;658;988;599;833;1 973;614;826;513;534;809;1 036;813;1 193;1 220;1 169;859;1 004;1 231;1 219;1 039;929;1 868;712;1 775;813;1 024;779;1 119;1 119;1 838;1 052;1 429;1 011;1 190;754;1 101;1 269;1 070;4 448;2 545;1 146;1 416;986;1 262;365;2 468;1 137;1 326;1 255;1 076;1 391;1 462;1 884;799;2 186;2 225;1 585;1 771;3 176
1;112 555;14 655;15 552;12 744;10 861;15 811;18 845;12 092;11 995;14 655;15 552;6 655;6 089;2 791;8 070;4 630;5 493;5 688;5 457;13 388;6 362;5 730;11 995;14 655;1 045;1 096;1 766;1 208;745;1 209;1 351;1 160;2 284;1 870;1 253;565;2 145;621;939;732;516;680;1 022;655;812;2 050;650;811;522;589;855;1 039;897;1 260;1 282;1 177;825;1 068;1 264;1 194;1 020;973;1 881;756;1 711;789;1 105;796;1 092;1 155;1 956;1 094;1 483;1 037;1 189;720;1 157;1 354;1 232;4 489;2 672;1 213;1 477;1 095;1 210;350;2 525;1 095;1 218;1 174;997;1 430;1 440;1 863;822;2 167;2 271;1 654;1 792;3 289
2;114 739;15 013;15 986;12 947;10 818;15 950;19 000;12 697;12 328;15 013;15 986;6 782;6 165;2 724;8 094;4 705;5 695;5 550;5 379;13 621;6 605;6 092;12 328;15 013;1 047;1 135;1 790;1 199;820;1 251;1 425;1 141;2 406;2 000;1 173;599;2 228;704;855;700;533;710;1 052;645;786;2 086;669;887;534;558;832;1 017;875;1 161;1 256;1 186;885;1 075;1 246;1 285;1 041;961;1 943;760;1 733;834;1 132;835;1 161;1 089;1 876;1 084;1 501;1 008;1 196;723;1 046;1 406;1 204;4 391;2 944;1 224;1 489;1 125;1 244;331;2 708;1 095;1 234;1 237;1 118;1 430;1 512;2 032;825;2 311;2 317;1 713;1 896;3 266
3;115 514;14 922;16 903;13 104;11 143;15 816;18 924;12 699;12 003;14 922;16 903;6 916;6 188;2 697;8 446;4 772;5 638;5 406;5 365;13 559;6 621;6 078;12 003;14 922;1 176;1 220;1 849;1 309;834;1 313;1 466;1 166;2 652;2 067;1 267;584;2 257;641;878;729;543;786;1 082;624;816;2 088;695;834;522;609;856;988;853;1 342;1 268;1 278;904;1 102;1 305;1 247;1 032;1 017;1 976;747;1 740;841;1 078;888;1 091;1 119;1 807;1 063;1 417;1 035;1 259;707;1 095;1 269;1 269;4 265;2 871;1 234;1 504;1 142;1 274;346;2 655;1 113;1 280;1 227;1 069;1 482;1 514;2 013;866;2 291;2 299;1 635;1 773;3 139
4;114 401;14 650;16 626;12 855;11 190;16 176;18 531;12 429;11 944;14 650;16 626;6 774;6 081;2 838;8 352;4 968;5 570;5 638;5 250;13 281;6 628;5 801;11 944;14 650;1 101;1 162;1 913;1 184;804;1 263;1 426;1 124;2 734;2 146;1 221;548;2 256;643;854;735;529;713;1 044;648;835;2 011;662;850;512;563;853;1 087;898;1 278;1 253;1 191;896;1 133;1 321;1 280;1 103;1 061;2 012;792;1 708;795;1 086;830;1 151;1 098;1 962;1 082;1 496;971;1 212;659;1 087;1 321;1 207;4 209;2 901;1 252;1 429;1 068;1 215;331;2 674;1 107;1 319;1 197;1 093;1 382;1 405;1 921;871;2 214;2 305;1 599;1 823;3 132
5;113 072;14 652;16 731;12 728;11 197;15 611;18 080;12 293;11 780;14 652;16 731;6 715;6 013;2 750;8 447;4 734;5 527;5 350;5 155;12 925;6 462;5 831;11 780;14 652;1 157;1 212;1 786;1 181;847;1 284;1 370;1 125;2 772;2 188;1 198;611;2 232;661;881;711;510;736;984;654;787;2 037;592;917;498;528;865;1 011;874;1 326;1 269;1 321;893;1 118;1 262;1 258;1 058;934;1 966;776;1 682;876;1 081;796;1 092;1 045;1 871;1 044;1 390;939;1 222;697;1 139;1 158;1 192;4 041;2 877;1 146;1 441;1 032;1 196;332;2 566;1 126;1 177;1 261;1 022;1 384;1 493;1 932;811;2 190;2 226;1 627;1 816;3 110
6;112 604;14 517;16 810;12 485;11 177;15 495;18 240;11 974;11 906;14 517;16 810;6 590;5 895;2 756;8 421;4 524;5 497;5 474;5 292;12 948;6 325;5 649;11 906;14 517;1 090;1 181;1 904;1 131;755;1 282;1 423;1 242;2 832;2 174;1 218;578;2 180;624;886;725;469;733;973;605;788;2 010;672;809;495;516;879;1 048;829;1 304;1 222;1 305;895;1 122;1 323;1 250;1 089;920;1 829;686;1 709;739;1 022;851;1 176;1 091;1 875;1 035;1 473;992;1 278;702;1 082;1 238;1 191;3 992;2 859;1 152;1 483;1 101;1 170;312;2 595;1 093;1 209;1 116;1 017;1 390;1 423;1 819;895;2 257;2 281;1 567;1 767;3 139
7;109 841;13 824;16 488;12 256;11 055;15 370;17 371;11 922;11 555;13 824;16 488;6 526;5 730;2 819;8 236;4 650;5 487;5 233;4 879;12 492;6 325;5 597;11 555;13 824;1 069;1 067;1 921;1 190;712;1 132;1 368;1 132;2 885;2 215;1 198;599;2 069;618;818;719;523;687;1 092;619;813;1 873;602;816;480;527;947;1 033;839;1 303;1 207;1 256;923;1 089;1 234;1 224;1 094;939;1 893;724;1 649;781;1 102;815;1 140;1 013;1 828;1 001;1 391;914;1 132;652;1 034;1 147;1 217;3 809;2 762;1 160;1 376;1 052;1 116;330;2 554;1 064;1 189;1 188;1 007;1 353;1 405;1 832;800;2 189;2 191;1 564;1 795;3 016
8;110 880;14 161;16 626;12 741;11 053;15 551;17 426;11 765;11 557;14 161;16 626;6 744;5 997;2 759;8 294;4 621;5 452;5 478;5 178;12 248;6 255;5 510;11 557;14 161;1 145;1 139;1 883;1 179;783;1 179;1 422;1 163;2 829;2 191;1 163;550;2 232;637;888;677;539;716;1 055;636;830;1 949;663;811;552;556;860;1 047;852;1 313;1 248;1 268;843;1 135;1 273;1 214;1 044;922;1 912;743;1 626;778;1 059;818;1 171;1 114;1 877;1 054;1 433;996;1 215;734;1 047;1 186;1 206;3 700;2 651;1 185;1 416;987;1 103;338;2 484;1 052;1 218;1 163;1 001;1 303;1 362;1 844;819;2 268;2 236;1 523;1 729;2 982
9;110 560;13 686;16 912;12 285;11 488;15 510;17 378;11 807;11 494;13 686;16 912;6 465;5 820;2 899;8 589;4 681;5 457;5 372;5 046;12 332;6 210;5 597;11 494;13 686;1 110;1 136;1 878;1 177;804;1 250;1 455;1 201;2 826;2 350;1 153;572;2 055;636;839;709;524;711;991;614;827;1 929;629;835;467;519;946;1 071;882;1 402;1 251;1 340;938;1 080;1 336;1 242;1 091;988;1 894;708;1 615;791;1 077;786;1 188;1 095;1 817;1 053;1 407;947;1 169;681;1 073;1 176;1 160;3 796;2 668;1 140;1 426;1 013;1 129;320;2 564;1 105;1 138;1 083;985;1 372;1 437;1 803;819;2 176;2 231;1 516;1 787;2 965
10;120 613;14 464;17 803;13 669;12 762;17 188;18 509;13 172;13 046;14 464;17 803;7 144;6 525;3 297;9 465;5 249;6 068;5 871;5 442;13 067;6 936;6 236;13 046;14 464;1 197;1 202;2 031;1 225;814;1 332;1 578;1 374;2 931;2 269;1 235;615;2 330;681;950;742;561;757;1 123;696;911;2 100;696;978;536;608;1 034;1 229;1 034;1 514;1 446;1 362;1 032;1 224;1 508;1 379;1 252;1 041;2 141;815;1 801;879;1 208;889;1 291;1 114;1 982;1 184;1 591;1 034;1 297;735;1 090;1 286;1 300;3 889;2 887;1 238;1 496;1 046;1 211;365;2 647;1 196;1 398;1 330;1 119;1 489;1 528;2 100;949;2 508;2 600;1 740;1 889;3 360
11;122 273;14 297;17 790;14 033;13 218;17 563;18 718;13 400;13 254;14 297;17 790;7 330;6 703;3 428;9 790;5 370;6 348;5 845;5 501;13 217;7 210;6 190;13 254;14 297;1 205;1 200;1 952;1 233;806;1 353;1 577;1 284;2 926;2 351;1 289;614;2 238;747;1 002;796;563;811;1 173;755;938;2 186;763;932;524;605;1 131;1 241;1 056;1 596;1 488;1 391;1 069;1 364;1 451;1 431;1 225;1 094;2 165;886;1 877;917;1 307;942;1 305;1 125;2 010;1 165;1 545;994;1 358;707;1 147;1 295;1 267;3 906;2 805;1 282;1 546;1 094;1 317;410;2 728;1 274;1 402;1 396;1 106;1 504;1 570;2 010;989;2 464;2 591;1 755;2 015;3 440
12;123 732;14 034;17 959;14 126;13 711;17 797;18 958;13 723;13 424;14 034;17 959;7 445;6 681;3 504;10 207;5 434;6 387;5 976;5 695;13 263;7 252;6 471;13 424;14 034;1 232;1 212;2 031;1 199;838;1 389;1 642;1 331;2 844;2 296;1 277;668;2 285;755;1 015;829;594;813;1 154;777;894;2 117;734;998;565;596;1 107;1 346;1 051;1 619;1 604;1 487;1 059;1 376;1 561;1 501;1 339;1 087;2 151;857;1 897;926;1 278;884;1 402;1 149;1 999;1 213;1 615;1 056;1 363;770;1 166;1 340;1 301;3 804;2 956;1 255;1 583;1 084;1 280;415;2 733;1 301;1 412;1 391;1 170;1 503;1 613;2 185;1 037;2 421;2 654;1 693;2 063;3 556
13;119 308;13 220;16 993;13 673;13 279;17 345;18 064;13 317;13 417;13 220;16 993;7 234;6 439;3 405;9 874;5 169;6 310;5 866;5 511;12 553;7 027;6 290;13 417;13 220;1 131;1 170;2 070;1 182;830;1 305;1 464;1 290;2 603;2 094;1 257;597;2 200;775;1 012;764;555;808;1 120;713;965;1 970;662;985;532;612;1 103;1 286;1 016;1 666;1 395;1 459;1 011;1 350;1 551;1 442;1 257;1 039;2 068;805;1 847;944;1 214;904;1 401;1 127;1 960;1 219;1 560;1 058;1 266;710;1 197;1 280;1 178;3 630;2 600;1 159;1 606;1 012;1 368;411;2 615;1 241;1 407;1 353;1 168;1 471;1 608;2 043;1 055;2 469;2 607;1 750;2 064;3 472
14;109 596;12 163;15 418;12 694;12 169;15 751;16 829;12 248;12 324;12 163;15 418;6 612;6 082;3 193;8 976;4 633;5 684;5 434;5 176;11 653;6 490;5 758;12 324;12 163;1 096;1 081;1 727;1 112;723;1 144;1 323;1 132;2 390;1 935;1 148;607;2 015;690;921;686;503;743;1 054;647;910;1 889;660;865;490;621;1 012;1 189;992;1 434;1 294;1 250;945;1 284;1 451;1 318;1 056;946;1 877;754;1 680;793;1 148;859;1 204;1 059;1 761;1 079;1 535;946;1 205;713;1 089;1 223;1 104;3 421;2 457;1 144;1 488;914;1 125;371;2 400;1 132;1 354;1 233;1 037;1 379;1 410;1 932;935;2 200;2 439;1 587;1 932;3 231
